CO2_MIN_LIMIT,CO2_MAX_LIMIT,FLOW_LOW,FLOW_MODERATE,SUP_TEMP_AT_HIGH,run_id,rc,energy_cost,co2_penalty,temp_penalty,total_cost,elapsed_s
600,800,0.15,0.3,19.0,5,0,7751.445253494614,1184.0,1562.0,10497.445253494614,11.39304804801941
600,800,0.15,0.4,19.0,7,0,7760.997678586515,1184.0,1562.0,10506.997678586515,11.248452186584473
600,800,0.1,0.3,19.0,1,0,7715.852197790502,1332.0,1561.0,10608.852197790502,11.225144147872925
600,800,0.15,0.3,17.0,4,0,7766.284617714415,1258.0,1586.0,10610.284617714415,11.531034231185913
600,800,0.1,0.4,19.0,3,0,7725.362308453356,1332.0,1561.0,10618.362308453356,11.664085865020752
600,800,0.15,0.4,17.0,6,0,7775.834415231628,1258.0,1586.0,10619.834415231628,12.314554214477539
600,800,0.1,0.3,17.0,0,0,7726.6487642191605,1404.0,1577.0,10707.64876421916,12.14150094985962
600,800,0.1,0.4,17.0,2,0,7736.167834715961,1402.0,1577.0,10715.167834715961,11.92716097831726
700,800,0.15,0.3,17.0,28,0,7735.676616381794,7274.0,1583.0,16592.676616381796,14.710853815078735
700,800,0.15,0.4,17.0,30,0,7745.113880633582,7296.0,1583.0,16624.11388063358,15.014878034591675
700,800,0.15,0.3,19.0,29,0,7725.23482225336,7418.0,1561.0,16704.234822253362,12.601123809814453
700,800,0.15,0.4,19.0,31,0,7734.625258630172,7418.0,1561.0,16713.62525863017,12.751285076141357
700,800,0.1,0.3,17.0,24,0,7707.493314613395,8020.0,1562.0,17289.493314613395,16.86121106147766
700,800,0.1,0.4,17.0,26,0,7716.596186154311,8016.0,1562.0,17294.59618615431,15.461447954177856
700,800,0.1,0.3,19.0,25,0,7701.692900566142,8144.0,1559.0,17404.692900566144,13.369488954544067
700,800,0.1,0.4,19.0,27,0,7710.754314219394,8136.0,1559.0,17405.754314219394,13.857789278030396
600,950,0.15,0.3,17.0,12,0,7623.460425735439,12378.0,1591.0,21592.460425735437,11.293182849884033
600,950,0.15,0.4,17.0,14,0,7633.046835852858,12382.0,1591.0,21606.04683585286,10.635739088058472
600,950,0.15,0.3,19.0,13,0,7616.926494229603,12786.0,1568.0,21970.926494229603,10.31893014907837
600,950,0.15,0.4,19.0,15,0,7626.530914330059,12788.0,1568.0,21982.53091433006,9.996237993240356
600,950,0.1,0.3,17.0,8,0,7580.984802128032,12862.0,1582.0,22024.984802128034,10.456768035888672
600,950,0.1,0.4,17.0,10,0,7590.48198935795,12854.0,1582.0,22026.481989357948,12.856015920639038
600,950,0.1,0.4,19.0,11,0,7587.979442807086,13264.0,1567.0,22418.979442807085,12.888900756835938
600,950,0.1,0.3,19.0,9,0,7578.496085861156,13274.0,1567.0,22419.496085861156,10.196126937866211
700,950,0.15,0.4,17.0,38,0,7595.9892707401505,15400.0,1586.0,24581.989270740152,10.517328977584839
700,950,0.15,0.3,17.0,36,0,7586.399665590505,15410.0,1586.0,24582.399665590507,9.963183879852295
600,1050,0.15,0.4,17.0,22,0,7584.613846972202,15452.0,1591.0,24627.613846972203,10.22740888595581
600,1050,0.15,0.3,17.0,20,0,7575.005367646092,15466.0,1591.0,24632.005367646092,9.869272947311401
700,950,0.15,0.4,19.0,39,0,7593.091269794762,15904.0,1567.0,25064.091269794764,9.769017934799194
700,950,0.15,0.3,19.0,37,0,7583.503381675657,15914.0,1567.0,25064.503381675655,9.803563117980957
600,1050,0.15,0.4,19.0,23,0,7581.607726581695,16132.0,1568.0,25281.607726581693,9.680434942245483
600,1050,0.15,0.3,19.0,21,0,7571.979364933037,16146.0,1568.0,25285.97936493304,9.760648012161255
700,950,0.1,0.4,17.0,34,0,7552.705108564551,16324.0,1565.0,25441.70510856455,9.995666742324829
700,950,0.1,0.3,17.0,32,0,7543.15314599102,16338.0,1565.0,25446.15314599102,10.067714929580688
600,1050,0.1,0.4,17.0,18,0,7541.984718035994,16752.0,1586.0,25879.984718035994,10.052104949951172
600,1050,0.1,0.3,17.0,16,0,7532.42645980479,16806.0,1585.0,25923.42645980479,9.900920152664185
700,950,0.1,0.4,19.0,35,0,7554.575490024574,16842.0,1566.0,25962.575490024574,9.83600115776062
700,950,0.1,0.3,19.0,33,0,7545.002704879504,16856.0,1566.0,25967.002704879502,9.833469152450562
600,1050,0.1,0.4,19.0,19,0,7543.109559947525,17394.0,1568.0,26505.109559947523,10.076215982437134
600,1050,0.1,0.3,19.0,17,0,7533.598621394072,17448.0,1567.0,26548.59862139407,9.892117977142334
700,1050,0.15,0.4,17.0,46,0,7553.687874557167,18732.0,1593.0,27878.687874557167,9.691820859909058
700,1050,0.15,0.3,17.0,44,0,7544.082183125372,18744.0,1593.0,27881.08218312537,9.674811840057373
700,1050,0.15,0.4,19.0,47,0,7553.732734428605,19362.0,1569.0,28484.732734428606,9.556066036224365
700,1050,0.15,0.3,19.0,45,0,7544.128596481416,19372.0,1569.0,28485.128596481416,9.546118021011353
700,1050,0.1,0.4,17.0,42,0,7510.736099559251,19556.0,1571.0,28637.73609955925,9.80912184715271
700,1050,0.1,0.3,17.0,40,0,7501.187536002358,19604.0,1571.0,28676.18753600236,9.71313214302063
700,1050,0.1,0.4,19.0,43,0,7515.402204382355,20262.0,1568.0,29345.402204382357,9.59986162185669
700,1050,0.1,0.3,19.0,41,0,7505.838991387969,20320.0,1568.0,29393.83899138797,9.586743831634521
